X,Y,RCLC1,RCLC2,RCLC3,RCLC4
48.38,68.27,82.82,83.64,84.39,85.01
50.77,79.42,83.23,83.99,84.77,85.38
61.48,92.5,81.67,82.38,83.16,83.77
62.02,96.73,82.66,83.35,84.04,84.58
61.88,96.92,81.33,83.01,83.88,84.5
61.23,96.92,81.67,82.45,83.32,83.98
60.35,83.08,83.36,83.74,84.49,85.09
58.23,81.92,82.69,83.36,84.04,84.59
53.46,91.62,81.25,81.93,82.61,83.17
53.08,91.15,83.08,83.8,84.49,85.07
53.35,90.38,79.49,80.16,80.88,81.53
52.04,88.08,81.77,82.54,83.26,83.84
52.02,86.35,80.56,81.33,81.94,82.46
52.4,80.87,81.69,82.45,83.06,83.56
52.08,76.35,82.52,83.21,83.76,84.22
51.67,69.62,82.55,83.2,83.74,84.2
50.77,66.33,81.94,82.67,83.28,83.79
54.04,74.04,82.18,82.94,83.57,84.08
56.06,74.23,81.43,82.15,82.73,83.21
56.52,70.89,82.95,83.67,84.24,84.71
56.75,68.75,83.9,84.56,85.09,85.52
54.57,69.46,84.69,85.35,85.89,86.37
53.86,72.86,86.49,87.16,87.66,88.1
53.98,77.5,86.85,87.48,87.97,88.42
54.79,77.68,87.06,87.71,88.22,88.69
56.39,76.07,86.72,87.35,87.85,88.32
58.02,74.64,87.81,88.29,88.68,89.05
60.54,83.57,87.81,88.28,88.69,89.07
67.5,105.08,84.88,85.34,85.8,86.22
72.86,112.14,84.86,85.29,85.84,86.31
72.5,111.96,82.34,82.84,83.44,83.96
75.89,110.54,80.44,81.04,81.71,82.29
78.93,108.04,81.85,82.42,83.08,83.64
78.75,100.89,81.51,81.98,82.58,83.07
77.32,100.09,81.74,82.33,82.83,83.19
70.71,94.64,81.25,81.83,82.35,82.74
69.04,94.11,83.86,84.43,84.94,85.32
69.4,106.5,83.76,84.35,84.87,85.22
67.43,110.18,85.73,86.27,86.73,87.07
72.14,120.71,84.11,84.65,85.08,85.38
71.07,120.54,86.75,87.25,87.63,87.91
71.25,120,88,88.42,88.75,88.96
71.5,109.82,89.19,89.59,89.87,90.02
73.39,104.64,89.38,89.74,89.98,90.11
72.21,103.39,88.69,89.22,89.67,89.97
71.25,97.04,88.28,88.82,89.29,89.63
69.18,95.71,88.37,88.88,89.34,89.68
68.05,95.29,87.79,88.31,88.79,89.17
67.82,94.91,88.61,89.14,89.63,90.01
67.5,97.77,88.28,88.84,89.43,89.87
66.43,98.29,88.62,89.24,89.89,90.38
67.21,101.61,87.7,88.4,89.18,89.79
67.5,102.86,88.02,88.6,89.37,89.95
73.93,105.18,88.81,89.37,90.16,90.8
75,111.43,89.82,90.64,91.27,91.72
75.89,118.57,90.48,91.21,91.81,92.25
76.79,118.39,91.51,92.16,92.69,93.1
58.39,79.29,89.38,90.42,91.32,92.07
58.32,75.61,90.3,91.42,92.39,93.23
54.93,59.82,88.38,89.75,90.9,91.84
53.18,59.29,88.03,89.22,90.17,90.98
51.86,59.29,89.25,90.58,91.67,92.58
51.07,60.18,91.11,92.36,93.38,94.23
51.04,60.42,91.86,92.87,93.74,94.48
50.54,60,91.4,92.3,93.21,94
50.07,59.82,91.54,92.57,93.56,94.43
49.5,59.55,91.38,92.31,93.33,94.24
49.36,58.57,90.86,91.81,92.98,93.99
49.32,57.68,88.86,89.59,90.96,92.18
49.45,59.18,89.11,90.63,92.04,93.07
49.63,59.64,87.87,89.53,91.02,92.07
49.59,60.54,86.19,87.88,89.43,90.57
49.16,62.5,87.33,89.35,91.11,92.39
49.36,65.89,85.64,88.29,90.45,91.91
49.39,67.68,89.34,91.68,93.43,94.64
49.7,66.54,92.19,94.28,95.82,96.78
50,67.68,90.77,93.5,95.42,96.52
50.58,66.92,90.86,93.68,95.78,97.01
50.61,67.14,90.54,93.24,95.37,96.66
51.07,67.77,89.03,91.85,94,95.32
52.32,73.75,87.48,90.64,93.16,94.7
55.64,78.04,86.94,90.24,93.12,94.89
57.93,79.29,86.71,90.1,93.19,95.13
58.75,73.93,86.73,89.94,92.92,94.68
59.82,66.96,85.58,89.13,92.35,94.14
61.96,70.21,84.81,88.73,92.26,94.24
69.11,70.54,84.32,87.57,90.86,92.68
69.64,72.21,84.99,87.84,90.96,92.82
68.93,81.43,86.36,88.84,91.18,92.74
68.39,82.32,86.2,89.71,92.31,93.82
62.21,80.18,93.57,95.42,96.8,97.65
59.82,76.07,98.1,99.82,100.64,101.22
58.21,79.2,97.28,98.74,99.44,100.05
62.04,84.82,97.88,99.36,100.08,100.69
62.68,84.55,96.97,98.64,99.44,100.11
63.75,91.88,99.63,101.4,102.17,102.75
70,103.57,102.23,103.48,104.03,104.47
79.82,111.96,101.91,103.09,103.77,104.25
79.11,107.86,104.42,105.61,106.17,106.52
79.46,106.43,105.44,106.73,107.28,107.67
78.93,105,105.02,105.95,106.48,106.86
79.29,104.64,104.38,105.61,106.3,106.82
79.39,105.54,102.7,103.92,104.52,104.95
79.75,109.11,101.16,102.35,102.95,103.46
79.39,110,101.19,102.19,102.79,103.32
79.11,110.71,97.18,97.98,98.58,99.13
76.54,110.54,97.98,98.95,99.58,100.15
76.29,111.43,101.42,102.39,103.06,103.6
76.11,110.89,101.07,101.85,102.44,102.95
75.54,110.36,102.33,103.09,103.72,104.28
73.93,111.96,104,104.97,105.52,106
73.75,111.43,105.75,106.21,106.58,106.76
73.11,110.36,105.6,106.11,106.52,106.73
72.54,109.46,105.4,105.94,106.38,106.64
71.68,104.11,103.98,104.56,105.06,105.37
69.11,92.86,104.79,105.32,105.79,106.07
67.68,90.71,104.27,104.84,105.37,105.73
67.07,89.82,106.72,107.24,107.71,107.99
66.04,88.39,107.94,108.5,108.94,109.17
63.64,80.54,108.47,109.05,109.53,109.83
62.43,78.93,108.34,108.99,109.56,109.91
60.79,78.48,108.83,109.48,110.05,110.39
59.39,77.14,110.3,110.88,111.37,111.66
58.68,77.14,112.79,113.37,113.86,114.14
58.21,76.96,109.92,110.57,111.17,111.55
56.64,78.75,106.25,106.97,107.64,108.1
55.54,80.09,107.11,107.71,108.24,108.64
55.52,81.25,108.11,108.7,109.19,109.49
55.54,82.77,109.66,110.22,110.68,110.96
55.36,82.46,107.12,107.69,108.15,108.42
55.46,83.57,108.15,108.28,108.73,108.99
55.48,83.93,111.45,111.91,112.17,112.28
55.57,85.36,112.29,112.75,113.02,113.13
55.27,85.18,112.21,112.71,112.98,113.1
55.36,86.16,112.76,113.28,113.57,113.69
54.82,85.89,112.86,113.34,113.62,113.75
55.54,86.61,111.05,111.56,111.85,111.99
56.79,88.04,109.24,109.73,110,110.17
57.34,88.75,99.8,100.34,100.64,100.85
57.07,88.04,97.18,97.77,98.14,98.42
56.89,87.32,102.55,103.1,103.47,103.73
56.93,85.07,103.88,104.47,104.87,105.18
57.88,82.86,98.21,98.77,99.12,99.37
57.88,82.95,98.97,99.48,99.85,100.14
57.96,85.71,99.65,100.12,100.48,100.79
58.11,90.71,97.37,97.85,98.25,98.59
57.93,92.23,96.91,97.43,97.84,98.19
57.04,86.88,100.1,100.56,100.89,101.16
